establecimiento,producto,marca,presentacion,gramaje,precio,aroma,frentes,nivel_de_percha,promoción,tipo_medida
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,con toque suavizante,4.0,ojos,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,xtra power floral,1.0,ojos,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,poder limon,3.0,ojos,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,con toque suavizante,3.0,3,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,xtra power floral,1.0,3,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,poder limon,3.0,3,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,con toque suavizante,4.0,arriba,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,xtra power floral,2.0,arriba,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,300ml,0.85,poder limon,3.0,arriba,oferta el 31% 0.69pvp,volumen
mi caserita,detergente líquido,ciclon,doypack,1.3l,5.15,xtra power floral,2.0,2,,volumen
mi caserita,detergente líquido,ciclon,doypack,1.3l,5.15,poder limon,2.0,2,,volumen
mi caserita,detergente líquido,tan uniko,doypack,1.3l,1.85,triple accion,2.0,2,,volumen
mi caserita,detergente líquido,perla,botella,2lt,9.49,aroma de bebe,4.0,1,,volumen
mi caserita,detergente líquido,dersa,botella,4l,8.9,floral,1.0,1,,volumen
mi caserita,detergente líquido,estrella,doypack,300ml,0.85,super power,2.0,arriba,,volumen
mi caserita,detergente líquido,estrella,doypack,300ml,0.85,super power,2.0,3,,volumen
mi caserita,detergente líquido,estrella,doypack,300ml,0.85,super power,2.0,ojos,,volumen
mi caserita,detergente líquido,estrella,doypack,300ml,0.85,super power,2.0,2,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,floral,1.0,arriba,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,con suavizante,1.0,arriba,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,floral,1.0,ojos,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,con suavizante,1.0,ojos,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,floral,1.0,3,,volumen
mi caserita,detergente líquido,deja,doypack,300ml,0.89,con suavizante,1.0,3,,volumen
mi caserita,cloro,ajax,sachet,300gr,0.3,original,1.0,1,oferta -33% 5x$1,peso
mi caserita,cloro,sacheton,sachet,300gr,0.2,original,1.0,1,,peso
mi caserita,cloro,distron,botella,1gl,1.99,al 5.9%,5.0,2,,volumen
mi caserita,cloro,distron,botella,1l,1.0,original,3.0,3,oferta -51%  0.49,volumen
mi caserita,cloro,distron,botella,1l,1.0,original,5.0,arriba,oferta -51%  0.49,volumen
mi caserita,cloro,distron,botella,1l,0.54,original,20.0,estante  frontal,,volumen
mi caserita,cloro,clorox,sachet,300gr,0.25,original,4.0,estante  frontal,oferta -20% 5x$1,peso
mi caserita,jabon liquido,clans,doypack,1l,1.29,cherry,1.0,arriba,,volumen
mi caserita,jabon liquido,clans,doypack,1l,1.29,frutos rojos,1.0,arriba,,volumen
mi caserita,jabon liquido,clans,doypack,1l,1.29,cherry,1.0,3,,volumen
mi caserita,jabon liquido,clans,doypack,1l,1.29,avena,1.0,3,,volumen
mi caserita,jabon liquido,clans,doypack,1l,1.29,frutos rojos,1.0,3,,volumen
mi caserita,jabon liquido,clans,botella,500ml,1.49,frutos rojos,1.0,arriba,,volumen
mi caserita,jabon liquido,clans,botella,500ml,1.49,avena,2.0,arriba,,volumen
mi caserita,jabon liquido,essences,botella,500ml,1.19,manzana,1.0,arriba,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,rojo,1.0,arriba,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,verde,1.0,arriba,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,manzanilla,1.0,arriba,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,rojo,1.0,3,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,verde,1.0,3,,volumen
mi caserita,jabon liquido,distron,botella,500ml,0.99,manzanilla,1.0,3,,volumen
mi caserita,jabon liquido,jolly,botella,500ml,2.05,floral,1.0,3,,volumen
mi caserita,jabon liquido,jolly,botella,500ml,2.05,almendra,1.0,arriba,,volumen
mi caserita,jabon liquido,jolly,botella,500ml,2.05,avena,1.0,arriba,,volumen
mi caserita,jabon liquido,jolly,botella,500ml,2.05,almendra,1.0,3,,volumen
mi caserita,jabon liquido,jolly,botella,500ml,2.05,avena,1.0,3,,volumen
mi caserita,jabon liquido,protex,botella,221ml,2.65,avena,1.0,3,,volumen
mi caserita,tenedor,oxford,paquete,,0.6,negro,2.0,1,,desconocido
mi caserita,tenedor,oxford,paquete,,0.74,blanco,2.0,1,,desconocido
mi caserita,mini tenedor,condor,paquete,,0.54,blanco,1.0,1,,desconocido
mi caserita,cucharas,oxford,paquete,,0.29,negro,2.0,1,,desconocido
supermercado escobar,desinfectante,olimpia,botella,450ml,0.95,vainilla y avellana,3.0,ojos,,volumen
supermercado escobar,desinfectante,olimpia,botella,450ml,0.95,pinos navideños,2.0,ojos,,volumen
supermercado escobar,desinfectante,olimpia,botella,450ml,0.95,eucalipto,3.0,ojos,,volumen
supermercado escobar,desinfectante,olimpia,botella,450ml,0.95,lavanda,4.0,ojos,,volumen
supermercado escobar,desinfectante,olimpia,botella,450ml,0.95,canela y manzana,2.0,ojos,,volumen
supermercado escobar,desinfectante,olimpia,botella,900ml,2.0,vainilla y avellana,2.0,2,,volumen
supermercado escobar,desinfectante,olimpia,botella,900ml,2.0,manzana,2.0,2,,volumen
supermercado escobar,desinfectante,olimpia,botella,900ml,2.0,eucalipto,2.0,2,,volumen
supermercado escobar,desinfectante,olimpia,botella,900ml,2.0,lavanda,2.0,2,,volumen
supermercado escobar,desinfectante,olimpia,botella,900ml,2.0,canela y manzana,3.0,2,,volumen
supermercado escobar,desinfectante,olimpia,botella,240ml,2.0,vainilla y avellana,8.0,3,,volumen
supermercado escobar,desinfectante,olimpia,botella,240ml,2.0,manzana,1.0,3,,volumen
supermercado escobar,desinfectante,olimpia,botella,240ml,2.0,eucalipto,8.0,3,,volumen
supermercado escobar,desinfectante,olimpia,botella,240ml,2.0,lavanda,6.0,3,,volumen
supermercado escobar,desinfectante,olimpia,botella,240ml,2.0,canela y manzana,8.0,3,,volumen
supermercado escobar,detergente líquido,dersa,botella,4l,6.0,floral,2.0,arriba,,volumen
supermercado escobar,detergente líquido,fabuloso,botella,500ml,0.95,naranja,3.0,3,,volumen
supermercado escobar,detergente líquido,fabuloso,botella,500ml,0.95,floral,3.0,3,,volumen
supermercado escobar,detergente líquido,fabuloso,botella,500ml,0.95,lavanda,3.0,3,,volumen
supermercado escobar,detergente líquido,fabuloso,doypack,240ml,0.41,naranja,2.0,arriba,,volumen
supermercado escobar,detergente líquido,fabuloso,doypack,240ml,0.41,floral,4.0,arriba,,volumen
supermercado escobar,detergente líquido,fabuloso,doypack,240ml,0.41,lavanda,3.0,arriba,,volumen
supermercado escobar,cloro,tifon,botella,500ml,0.87,original,4.0,3,,volumen
supermercado escobar,cloro,sanson,botella,500ml,0.85,original,6.0,3,,volumen
supermercado escobar,cloro,sanson,botella,1l,1.15,original,3.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,limon+ verbena,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,frescura marina,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,manzana verde,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,vainilla,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,eucalipto,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,lavanda,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,mascotas,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,manzana canela,1.0,3,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,limon+ verbena,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,frescura marina,2.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,vainilla,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,eucalipto,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,lavanda,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,mascotas,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1l,2.25,manzana canela,1.0,ojos,,volumen
supermercado escobar,desinfectante,kalipto,botella,1gl,6.75,lavanda,2.0,2,,volumen
supermercado escobar,desinfectante,kalipto,botella,2000ml,3.9,limon+ verbena,1.0,2,,volumen
supermercado escobar,desinfectante,kalipto,botella,2000ml,3.9,manzana verde,1.0,2,,volumen
supermercado escobar,desinfectante,kalipto,botella,2000ml,3.9,lavanda,2.0,2,,volumen
supermercado escobar,jabon liquido,goldery,botella,500ml,1.6,coco vainilla,1.0,ojos,con glicerina y aloe vera,volumen
supermercado escobar,jabon liquido,goldery,botella,500ml,1.6,agua marina,1.0,ojos,con glicerina y aloe vera,volumen
supermercado escobar,jabon liquido,goldery,botella,500ml,1.6,frutos rojos,1.0,ojos,con glicerina y aloe vera,volumen
comercial garcez,cloro,clorox,botella,1l,1.35,original,4.0,2,vta por caja de 12 botellas,volumen
comercial garcez,cloro,clorox,sachet,300gr,0.96,original,1.0,1,vta por caja de 60 sachets,peso
comercial garcez,cloro,clorox,botella,1gl,3.99,original,1.0,1,vta por caja de 3 botellas,volumen
comercial garcez,cloro,clorox,botella,2lt,2.35,original,1.0,1,vta por caja de 8 botellas,volumen
comercial garcez,jabon liquido,elis,doypack,1l,1.99,floral,2.0,3,,volumen
comercial garcez,jabon liquido,elis,doypack,1l,1.99,naranja citrica,2.0,3,,volumen
comercial garcez,jabon liquido,elis,doypack,1l,1.99,manzana verde,2.0,3,,volumen
comercial garcez,jabon liquido,sarys,doypack,1l,1.91,coconut,1.0,3,,volumen
comercial garcez,jabon liquido,essences,botella,500ml,1.35,floral,2.0,arriba,,volumen
comercial garcez,jabon liquido,essences,botella,500ml,1.35,naranja citrica,2.0,arriba,,volumen
comercial garcez,jabon liquido,bambino,botella,500ml,1.45,maracuya,1.0,arriba,,volumen
comercial garcez,jabon liquido,bambino,botella,500ml,1.45,avena,2.0,arriba,,volumen
comercial garcez,jabon liquido,bambino,botella,500ml,1.45,sweet,1.0,arriba,,volumen
comercial garcez,jabon liquido,essences,botella,1gl,5.55,manzana verde,1.0,ojos,,volumen
comercial garcez,jabon liquido,essences,botella,1gl,5.55,naranja citrica,1.0,ojos,,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,2.09,avena,1.0,arriba,,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,citrus,5.0,arriba,a partir de 6 unidades a 1.62,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,citrus,4.0,3,a partir de 6 unidades a 1.62,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,floral,3.0,arriba,a partir de 6 unidades a 1.62,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,almendra,6.0,arriba,a partir de 6 unidades a 1.62,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,floral,3.0,3,,volumen
comercial garcez,jabon liquido,jolly,botella,500ml,1.69,almendra,6.0,3,,volumen
comercial garcez,jabon liquido,jolly,doypack,1150ml,3.15,citrus,1.0,ojos,,volumen
comercial garcez,jabon liquido,jolly,doypack,1150ml,3.15,almendra,1.0,ojos,,volumen
comercial garcez,jabon liquido,jolly,doypack,1150ml,3.15,floral,1.0,ojos,,volumen
comercial garcez,jabon liquido,palmolive,botella,210ml,2.69,manzana,1.0,arriba,,volumen
comercial garcez,jabon liquido,goldery,botella,500ml,1.29,agua marina,7.0,arriba,,volumen
comercial garcez,detergente líquido,elis,botella,1gl,7.49,suave brisa,1.0,arriba,con suavizante,volumen
comercial garcez,detergente líquido,elis,botella,1gl,7.49,ropa nueva,1.0,arriba,con suavizante,volumen
comercial garcez,detergente líquido,elis,botella,1gl,7.49,lavanda,1.0,arriba,con suavizante,volumen
comercial garcez,detergente líquido,goldery,botella,3000ml,6.55,floral,1.0,arriba,con suavizante 2en 1,volumen
comercial garcez,cloro,clorox,botella,475g,0.79,original,6.0,ojos,,peso
comercial garcez,cloro,elis,botella,1l,0.85,original,1.0,ojos,,volumen
comercial garcez,cloro,elis,botella,1gl,2.25,original,1.0,ojos,,volumen
comercial garcez,cloro,clorox,botella,150ml,0.64,original,2.0,1,,volumen
comercial garcez,cloro,clorox,sachet,300gr,0.25,original,7.0,1,,peso
comercial garcez,cloro,clorox,botella,2.080kg,2.35,original,3.0,3,,peso
comercial garcez,cloro,clorox,botella,1l,1.75,original,5.0,ojos,,volumen
